Brand,Model,ProductCode,Price,Segment,Category,Status,Specs,createdAt,updatedAt
Realme,realme C63 4/64,REALME-REALME-C63-4/64-1727854266684,8499,6-10K,smartphone,live,,2024-10-02T07:31:12.981Z,2025-02-04T10:18:11.270Z
Apple,iPhone 15 256GB,APPLE-IPHONE-15-256GB-1727854267718,79900,70-100K,smartphone,live,,2024-10-02T07:31:12.989Z,2024-10-02T07:31:12.989Z
Motorola,G04s 4GB,MOTOROLA-G04S-4GB-1727854267747,6985,6-10K,smartphone,live,,2024-10-02T07:31:12.991Z,2024-10-02T07:31:12.991Z
Vivo,V30e 8/256,VIVO-V30E-8/256-1727854268751,26414,20-30K,smartphone,live,,2024-10-02T07:31:12.994Z,2024-10-02T07:31:12.994Z
Vivo,Y200 Pro 5G 8/128,VIVO-Y200-PRO-5G-8/128-1727854268818,21567,20-30K,smartphone,live,,2024-10-02T07:31:12.995Z,2024-10-02T07:31:12.995Z
