Code,Town,Name
JPR120,Bundi    ,Bundi
JPR156,Chaksu ,Chaksu - Niwai
JPR156,Chaksu ,Chaksu - Niwai
JPR156,Chaksu ,
JPR156,Chaksu ,
JPR156,Goner Mod,
JPR156,Chaksu ,Chaksu - Niwai
JPR156,Chaksu ,
JPR156,Chaksu ,Chaksu - Niwai
JPR259,Chandwaji,Achrol - Kookas
JPR259,Chandwaji,Achrol - Kookas
JPR145,Chechat ,Ramganj Mandi
JPR145,Chechat ,Ramganj Mandi
JPR145,Chhabra ,Chhabra
JPR145,Chhabra ,Chhabra
JPR145,Chhipabarod ,Chhabra
JPR145,Chhipabarod ,Chhabra
JPR182,Chhokarwara Kalan,Bhusawar
JPR259,Chomu ,Chomu
JPR259,Itawa,Govindgarh - Itawa
JPR259,Chomu ,Chomu
JPR259,Chomu ,Chomu
JPR259,Itawa,Govindgarh - Itawa
JPR259,Chomu ,Chomu
JPR259,Chomu ,Chomu
JPR259,Chomu ,Chomu
JPR259,Rampura,Jalsu - Kaladera
JPR259,Govindgarh ,Govindgarh - Itawa
JPR259,Chomu ,Chomu
JPR259,Chomu ,Chomu
JPR259,Jalsu,Jalsu - Kaladera
JPR259,Chomu ,Chomu
JPR259,Chomu ,Chomu
JPR259,Govindgarh ,Govindgarh - Itawa
JPR259,Kanarpura,Kishangarh Renwal 
JPR259,Chomu ,Chomu
JPR259,Itawa,Govindgarh - Itawa
SID006,Darbarpur,
JPR156,Dausa ,
JPR156,Dausa ,
JPR156,Dausa ,Dausa
JPR156,Dausa ,Dausa
JPR156,Dausa ,Dausa
JPR156,Dausa ,
JPR156,Dausa ,Dausa
JPR156,Dausa ,Dausa
JPR156,Dausa ,
JPR156,Dausa ,Dausa
JPR156,Dausa ,Dausa
JPR156,Dausa ,Dausa
JPR156,Dausa ,
JPR156,Dausa ,Dausa
JPR182,Deeg ,Deeg - Kumher
JPR182,Deeg ,Deeg - Kumher
JPR182,Deeg ,Deeg - Kumher
JPR182,Deeg ,Deeg - Kumher
JPR182,Deeg ,Deeg - Kumher
JPR182,Deeg ,Deeg - Kumher
JPR120,Dei,
JPR274,Deoli ,Deoli - Dooni
JPR274,Deoli ,Deoli - Dooni
JPR274,Deoli ,Deoli - Dooni
JPR274,Deoli ,Deoli - Dooni
JPR274,Deoli ,Deoli - Dooni
JPR274,Deoli ,Deoli - Dooni
JPR274,Deoli ,Deoli - Dooni
SID006,Machari,Rajgarh Machari
JPR182,Dhaulpur  ,Dhaulpur
JPR182,Dhaulpur  ,Dhaulpur
JPR182,Dhaulpur  ,Dhaulpur
JPR182,Dhaulpur  ,Dhaulpur
JPR182,Dhaulpur  ,
JPR182,Dhaulpur  ,Dhaulpur
JPR182,Dhaulpur  ,Dhaulpur
JPR182,Dhaulpur  ,Dhaulpur
JPR182,Dhaulpur  ,Bharatpur
JPR182,Dhaulpur  ,Dhaulpur
JPR182,Dhaulpur  ,Dhaulpur
JPR274,Diggi,Diggi - Malpura
SID006,Diwakari ,Ramgarh
JPR274,Dooni,Deoli - Dooni
JPR259,Narena,Narena - Dudu
JPR259,Dudu,Narena - Dudu
JPR259,Dudu,Narena - Dudu
JPR259,Dudu,Narena - Dudu
JPR259,Dudu,Narena - Dudu
JPR259,Dudu,Narena - Dudu
JPR259,Dudu,Narena - Dudu
JPR259,Dudu,Narena - Dudu
JPR259,Dudu,Narena - Dudu
JPR274,Gangapur City ,Gangapur City
JPR274,Gangapur City ,Gangapur City
JPR274,Gangapur City ,Gangapur City
JPR274,Gangapur City ,Gangapur City
JPR274,Gangapur City ,Gangapur City
JPR274,Gangapur City ,Gangapur City
SID005,#REF!,
SID005,Jayanti,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
JPR156,Goner Mod,Lalsot
JPR156,Vatika,Vatika - Shivdaspura
JPR182,Gopalgarh,Pahari - Seekri
JPR120,Gothra,
SID006,Govindgarh ,Govindagarh - Baroda Meo
SID006,Govindgarh ,Govindagarh - Baroda Meo
JPR259,Govindgarh ,Govindgarh - Itawa
JPR259,Govindgarh ,Govindgarh - Itawa
JPR259,Govindgarh ,Govindgarh - Itawa
SID006,Govindgarh ,Govindagarh - Baroda Meo
SID006,Harsoli,Harsoli Mundawar
JPR182,Hindaun ,Hindaun
JPR182,Hindaun ,Hindaun
JPR156,Dausa ,
JPR182,Hindaun ,Hindaun
JPR182,Hindaun ,Hindaun
JPR182,Hindaun ,Hindaun
JPR156,Dausa ,Dausa
JPR182,Hindaun ,Hindaun
JPR182,Hindaun ,Hindaun
JPR182,Hindaun ,Hindaun
JPR182,Hindaun ,Hindaun
JPR182,Hindaun ,Hindaun
JPR182,Hindaun ,
JPR182,Hindaun ,Hindaun
JPR182,Hindaun ,Hindaun
JPR182,Hindaun ,Hindaun
JPR156,Sikandara ,Bandikui
JPR182,Hindaun ,Hindaun
JPR156,Dausa ,Dausa
JPR120,Hindoli,Petch ki Babri - Hindoli
JPR182,Ibrahimpur,Hindaun
JPR120,Indragarh ,
JPR120,Indragarh ,
JPR120,Itawa,
JPR120,Itawa,Itawa
JPR120,Itawa,Itawa
SID001,Jagat Pura & India Gate,
SID001,Jagat Pura & India Gate,
SID001,Jagat Pura & India Gate,
SID001,Jagat Pura & India Gate,
SID001,Jagat Pura & India Gate,
SID001,Jagat Pura & India Gate,
SID001,Jagat Pura & India Gate,
SID001,Jagat Pura & India Gate,
SID001,Jagat Pura & India Gate,
SID001,Jagat Pura & India Gate,
SID001,Malpura Gate,
SID001,Jagat Pura & India Gate,
SID001,Jagat Pura & India Gate,
SID001,Jagat Pura & India Gate,
SID001,Jagat Pura & India Gate,
SID001,Jagat Pura & India Gate,
SID001,Jagat Pura & India Gate,
SID001,Jagat Pura & India Gate,
SID001,Jagat Pura & India Gate,
SID001,Jagat Pura & India Gate,
JPR259,Nai ki Thadi,Amer    
JPR259,Nai ki Thadi,Amer    
JPR182,Janoothar,Janoothar
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SC-VAC-01,Jodhpur,
SC-VAC-01,Jodhpur,
SID006,Joriya,
JPR182,Kailadevi,Karauli
JPR120,Kaithoon ,
JPR120,Kaithoon ,Kaithoon - Sangod
JPR120,Kaithoon ,Kaithoon - Sangod
JPR120,Kaithoon ,Kaithoon - Sangod
JPR259,Kaladera,Jalsu - Kaladera
JPR259,Kaladera,Jalsu - Kaladera
JPR259,Kalwara,Bagru
JPR259,Kalwara,Bagru
JPR182,Kaman ,Kaman - Jurhera
JPR182,Kaman ,Kaman - Jurhera
JPR120,Kaprain ,
JPR120,Kaprain ,
JPR182,Karauli ,Karauli
JPR182,Karauli ,Karauli
JPR182,Karauli ,Karauli
JPR182,Karauli ,Karauli
JPR182,Karauli ,Karauli
JPR182,Karauli ,Karauli
JPR182,Karauli ,Karauli
JPR182,Karauli ,Karauli
JPR182,Karauli ,Karauli
JPR182,Karauli ,Karauli
JPR182,Karauli ,Karauli
JPR182,Karauli ,
JPR182,Karauli ,Karauli
JPR182,Karauli ,Karauli
JPR182,Karauli ,Karauli
JPR182,Karauli ,Karauli
SID006,Laxmangarh,Govindagarh - Baroda Meo
JPR120,Karwar,
JPR120,Karwar,
JPR156,Kasba Bansur,Bansur
JPR156,Kasba Bansur,Bansur
JPR156,Kasba Bansur,Bansur
JPR156,Kasba Bansur,Bansur
SID006,Narayanpur,Thanagazi - Narayanpur
JPR156,Kasba Bansur,Bansur
JPR274,Kasba Bonli ,Bonli - Shivad
JPR274,Kasba Bonli ,Bonli - Shivad
JPR145,Kawai ,Chhabra
JPR120,Keshoraipatan ,
SID006,Khairthal ,Kishangarh Khairthal
SID006,Khairthal ,Kishangarh Khairthal
SID006,Khairthal ,Kishangarh Khairthal
SID006,Tapookra ,
JPR120,Khatauli,Itawa
JPR120,Khatkar,
JPR120,Khatkar,
JPR156,Shivdaspura,Vatika - Shivdaspura
JPR182,Kherli ,Kherli - Kathumer
JPR182,Kherli ,Kherli - Kathumer
JPR182,Kathumer,Kherli - Kathumer
JPR182,Kherli ,Kherli - Kathumer
SID006,Thanagazi,Thanagazi - Narayanpur
JPR259,Khor ,Amer    
JPR259,Khor ,Amer    
SID006,Kishangarh ,Kishangarh Khairthal
SID006,Kishangarh ,Kishangarh Khairthal
SID006,Kishangarh ,
SID006,Kishangarh ,
SID006,Kishangarh ,Kishangarh Khairthal
JPR259,Kishangarh Renwal ,Kishangarh Renwal 
JPR259,Kishangarh Renwal ,Kishangarh Renwal 
JPR259,Kishangarh Renwal ,Kishangarh Renwal 
JPR259,Kishangarh Renwal ,Kishangarh Renwal 
JPR259,Kishangarh Renwal ,Kishangarh Renwal 
JPR259,Kookas,Achrol - Kookas
JPR259,Kookas,Achrol - Kookas
JPR259,Kookas,Achrol - Kookas
JPR259,Kookas,Achrol - Kookas
